"category","label","date_seance","date_seance_suivante","publication_paris_datetime","jours_francs","jours_calendaires_depuis_seance","jours_calendaires_apres_seance_suivante","verdict","url","last_modified","error","note"
"DELIB_REGISTRE","Registre 2024 T1","","","2025-11-03 10:21:15","","","","INDICATEUR_SEUL","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1929","Mon, 03 Nov 2025 09:21:15 GMT","",""
"DELIB_REGISTRE","Registre 2023 T2","","","","","","","INDICATEUR_SEUL","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1756","","",""
"DELIB_REGISTRE","Registre 2023 T1","","","2024-09-19 10:57:04","","","","INDICATEUR_SEUL","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1754","Thu, 19 Sep 2024 08:57:04 GMT","",""
"PV","PV 13/02/2023","2023-02-13","2023-03-20","2023-10-25 10:28:56","","","219","TARDIF","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1598","Wed, 25 Oct 2023 08:28:56 GMT","",""
"PV","PV 20/03/2023","2023-03-20","2023-04-11","2023-10-25 09:44:17","","","197","TARDIF","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1593","Wed, 25 Oct 2023 07:44:17 GMT","",""
"PV","PV 11/04/2023","2023-04-11","2023-07-24","2023-10-25 09:44:57","","","93","TARDIF","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1594","Wed, 25 Oct 2023 07:44:57 GMT","",""
"PV","PV 24/07/2023","2023-07-24","2023-10-30","2023-10-31 09:40:04","","","1","CONFORME","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1604","Tue, 31 Oct 2023 08:40:04 GMT","",""
"PV","PV 30/10/2023","2023-10-30","2023-11-20","2023-11-23 13:53:54","","","3","CONFORME","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1617","Thu, 23 Nov 2023 12:53:54 GMT","",""
"PV","PV 20/11/2023","2023-11-20","2024-02-12","2024-07-08 11:27:41","","","147","TARDIF","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1716","Mon, 08 Jul 2024 09:27:41 GMT","",""
"PV","PV 13/02/2024","2024-02-13","2024-03-25","2024-07-08 10:54:41","","","105","TARDIF","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1712","Mon, 08 Jul 2024 08:54:41 GMT","",""
"PV","PV 25/03/2024","2024-03-25","2024-04-08","2024-07-08 10:58:14","","","91","TARDIF","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1715","Mon, 08 Jul 2024 08:58:14 GMT","",""
"PV","PV 08/04/2024","2024-04-08","2024-04-22","2024-07-08 10:55:59","","","77","TARDIF","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1713","Mon, 08 Jul 2024 08:55:59 GMT","",""
"PV","PV 22/04/2024","2024-04-22","2024-07-01","2024-07-08 10:57:26","","","7","CONFORME","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1714","Mon, 08 Jul 2024 08:57:26 GMT","",""
"PV","PV 01/07/2024","2024-07-01","2024-09-23","2024-09-18 11:17:43","","","-5","ANTICIPEE","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1752","Wed, 18 Sep 2024 09:17:43 GMT","","publiée avant séance d’arrêt"
"PV","PV 23/09/2024","2024-09-23","2024-10-28","2024-10-31 14:50:53","","","3","CONFORME","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1771","Thu, 31 Oct 2024 13:50:53 GMT","",""
"PV","PV 28/10/2024","2024-10-28","2024-12-09","2025-10-30 17:10:08","","","325","TARDIF","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1928","Thu, 30 Oct 2025 16:10:08 GMT","",""
"PV","PV 09/12/2024","2024-12-09","2024-12-16","2025-10-30 15:34:43","","","318","TARDIF","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1918","Thu, 30 Oct 2025 14:34:43 GMT","",""
"PV","PV 16/12/2024","2024-12-16","2024-12-23","2025-10-30 16:50:13","","","311","TARDIF","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1924","Thu, 30 Oct 2025 15:50:13 GMT","",""
"PV","PV 23/12/2024","2024-12-23","2025-03-18","2025-10-30 16:47:47","","","226","TARDIF","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1923","Thu, 30 Oct 2025 15:47:47 GMT","",""
"PV","PV 08/04/2025","2025-04-08","2025-07-01","2025-10-30 15:45:14","","","121","TARDIF","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1920","Thu, 30 Oct 2025 14:45:14 GMT","",""
"PV","PV 01/07/2025","2025-07-01","2025-10-28","2025-10-30 15:21:44","","","2","CONFORME","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1911","Thu, 30 Oct 2025 14:21:44 GMT","",""
